'Saturday, July 13, 2019 8:24 PM',$6.46
'Saturday, July 13, 2019 7:47 AM',$7.79
'Saturday, July 13, 2019 8:06 AM',$6.14
'Saturday, July 13, 2019 8:36 PM',$10.41
'Saturday, July 13, 2019 8:42 AM',$4.67
'Saturday, July 13, 2019 9:58 PM',$6.33
'Monday, June 3, 2019 3:24 PM',$8.12
'Monday, June 3, 2019 5:33 PM',$3.57
'Monday, June 3, 2019 7:04 PM',$8.82
'Monday, June 3, 2019 6:42 PM',$4.94
'Monday, June 3, 2019 6:13 PM',$14.43
'Monday, June 3, 2019 7:19 PM',$4.51
'Tuesday, May 14, 2019 12:02 AM',$3.19
'Monday, May 13, 2019 11:46 PM',$3.33
'Monday, May 13, 2019 4:42 PM',$4.47
'Monday, May 13, 2019 11:18 PM',$9.28
'Monday, May 13, 2019 1:38 PM',$9.39
'Monday, May 13, 2019 4:20 PM',$8.12
'Monday, May 13, 2019 1:06 PM',$3.19
'Monday, May 13, 2019 11:56 PM',$3.19
'Monday, May 13, 2019 2:23 PM',$8.84
'Monday, May 13, 2019 1:19 PM',$3.19
'Monday, May 13, 2019 11:39 PM',$4.19
'Monday, May 13, 2019 3:39 PM',$7.41
'Monday, May 13, 2019 10:49 PM',$26.20
'Wednesday, July 10, 2019 11:53 AM',$3.59
'Wednesday, July 10, 2019 3:44 PM',$14.70
'Wednesday, July 10, 2019 12:01 PM',$8.64
'Wednesday, July 10, 2019 11:13 AM',$4.97
'Wednesday, July 10, 2019 3:04 PM',$5.29
'Wednesday, July 10, 2019 2:23 PM',$5.37
'Thursday, June 6, 2019 3:37 PM',$7.30
'Thursday, June 6, 2019 4:13 PM',$7.13
'Thursday, June 6, 2019 10:41 PM',$17.83
'Friday, June 7, 2019 1:28 AM',$5.20
'Friday, June 7, 2019 1:58 AM',$25.44
'Thursday, June 6, 2019 11:16 PM',$3.98
'Wednesday, June 5, 2019 7:58 PM',$3.00
'Friday, June 7, 2019 12:55 AM',$3.20
'Friday, June 7, 2019 1:21 AM',$3.00
'Thursday, June 6, 2019 11:24 PM',$15.67
